,DSC03939,DSC03931,DSC03935,DSC04873,test,DSC04879,DSC04885
163,2242,1100,695,118,103,120,74
164,887,658,226,67,237,24,10
165,114,107,43,14,156,8,3
166,15,38,1,1,139,0,0
167,15,2,0,2,213,0,1
168,47,62,51,4,102,6,1
169,1,0,0,0,99,0,0
170,4930,3329,2840,927,112,833,727
171,0,3,0,0,1524,0,0
172,28,13,14,2,117,8,0
173,196,140,37,30,10,5,4
174,1,17,2,1,190,3,1
175,693,435,217,28,146,76,12
176,61,174,70,17,96,9,3
177,1512,664,461,93,105,115,76
178,2059,1370,941,259,94,242,160
179,0,0,0,0,145,1,0
180,3,4,29,0,112,48,0
181,49,38,32,69,102,8,51
182,127,106,20,8,144,1,2
183,0,0,0,0,94,0,2
184,293,227,124,90,101,74,69
185,0,0,0,0,97,0,1
186,0,3,2,2,149,2,0
187,768,753,464,138,100,125,171
188,430,421,205,51,94,61,84
189,5,11,0,1,95,0,5
190,0,0,1,0,142,0,0
191,106,71,103,86,95,83,94
192,0,2,2,2,95,1,0
193,2,9,7,3,95,1,0
194,0,0,0,4,141,0,0
195,0,107,43,34,95,41,1
196,159,12,36,5,94,1,22
197,0,0,2,1,143,1,0
198,1573,1564,1235,402,95,433,216
199,1,2,1,0,96,0,0
200,213,218,164,39,94,76,38
201,44,59,44,18,142,18,8
202,12,9,8,18,94,18,32
203,13,0,20,2,94,0,1
204,6,1,0,13,95,2,6
205,553,586,293,117,142,75,57
206,10,10,4,2,95,0,5
207,97,112,90,39,95,19,12
208,0,1,0,3,94,0,0
209,20,25,21,16,142,6,0
210,1,4,2,1,94,0,0
211,0,0,0,0,95,0,0
212,0,1478,1769,1070,141,1378,0
213,1670,0,0,0,94,0,2124
214,0,0,0,0,94,0,0
215,0,0,3,2,95,4,0
216,6,3,0,0,142,0,1
217,59,59,55,21,95,14,3
218,0,3,0,1,95,2,0
219,1,4,1,2,94,0,2
220,10,35,18,10,141,7,4
221,925,1358,744,218,94,207,135
222,10,9,9,4,95,5,2
223,2,19,11,5,48,9,2
224,32,81,33,17,141,13,9
225,2,7,3,4,0,1,0
226,23,56,27,3,94,8,6
227,698,902,482,82,95,122,76
228,0,30,18,5,141,8,0
229,13,2,17,4,95,9,0
230,9,25,20,4,95,5,7
231,0,423,237,62,96,61,32
232,443,243,112,39,142,30,21
233,0,2,0,0,95,2,0
234,1888,2366,2039,848,95,935,669
235,34,65,37,17,94,18,3
236,4,8,15,3,143,13,1
237,6,24,22,9,95,9,3
238,10,11,9,18,94,22,6
239,4,5,0,8,142,3,1
240,204,481,295,102,94,151,50
241,1697,3094,1744,503,94,714,283
242,17,43,22,14,95,28,3
243,5,19,3,12,141,19,1
244,10,2188,1153,440,94,532,2
245,1227,63,74,53,94,50,265
246,42,67,180,63,95,144,9
247,176,365,94,182,142,89,31
248,189,470,352,261,94,193,52
249,53,114,125,98,94,82,11
250,826,2042,1385,479,94,501,102
251,542,964,677,436,141,338,62
252,45,416,285,241,96,283,10
253,264,425,281,213,94,228,36
254,101,244,224,174,1,212,14
